state;statenum;trend;treated;treated_post;lncase;afdcben;unemp;empratio;mon_d2;mon_d3;mon_d4;caseload;popn;empratio_raw;south;control;T0
AK;2;54;0;0;-4.10687542;11.40999985;8.899999619;-0.855438054;0;0;0;9755;576405;0.425096929;0;1;117
AK;2;55;0;0;-4.087036133;11.40999985;8.600000381;-0.846588612;1;0;0;9989;577874;0.428875506;0;1;117
AK;2;56;0;0;-4.077657223;11.40999985;8.600000381;-0.833957076;1;0;0;10122;579342;0.434327215;0;1;117
AK;2;57;0;0;-4.100345612;11.40999985;8.399999619;-0.808824182;1;0;0;9933;580810;0.445381463;0;1;117
AK;2;58;0;0;-4.098657131;11.40999985;7.5;-0.780420423;0;1;0;9988;582279;0.458213329;0;1;117
AK;2;59;0;0;-4.102981567;11.40999985;7.199999809;-0.794522882;0;1;0;9983;583747;0.45179674;0;1;117
AK;2;60;0;0;-4.117676258;11.40999985;7.800000191;-0.823465407;0;1;0;9875;585216;0.438908041;0;1;117
AK;2;61;0;0;-4.117542267;11.84000015;9.100000381;-0.843847692;0;0;1;9914;586684;0.430052638;0;1;117
AK;2;62;0;0;-4.102005959;11.84000015;9.800000191;-0.852708519;0;0;1;10085;587528;0.426258832;0;1;117
AK;2;63;0;0;-4.088209629;11.84000015;10.19999981;-0.865163565;0;0;1;10241;588371;0.420982689;0;1;117
AK;2;64;0;0;-4.076963425;11.84000015;12;-0.885416985;0;0;0;10373;589215;0.412542105;0;1;117
AK;2;65;0;0;-4.065203667;11.84000015;11.80000019;-0.877650917;0;0;0;10512;590059;0.415758431;0;1;117
AK;2;66;0;0;-4.027582169;11.84000015;10.80000019;-0.859257698;0;0;0;10932;590902;0.423476309;0;1;117
AK;2;67;0;0;-3.996913195;11.84000015;10;-0.845699906;1;0;0;11290;591746;0.429256797;0;1;117
AK;2;68;0;0;-3.99183774;11.84000015;9.699999809;-0.82655561;1;0;0;11365;592590;0.437553793;0;1;117
AK;2;69;0;0;-4.000007629;11.84000015;9;-0.792857409;1;0;0;11290;593433;0.452549815;0;1;117
AK;2;70;0;0;-4.009284496;11.84000015;7.699999809;-0.761784077;0;1;0;11203;594277;0.466832817;0;1;117
AK;2;71;0;0;-4.007711887;11.84000015;7.099999905;-0.770024657;0;1;0;11238;595121;0.463001639;0;1;117
AK;2;72;0;0;-4.008446693;11.84000015;7.400000095;-0.793266833;0;1;0;11247;595964;0.452364564;0;1;117
AK;2;73;0;0;-3.995512724;11.90999985;8.5;-0.812261939;0;0;1;11411;596808;0.443852961;0;1;117
AK;2;74;0;0;-3.991635323;11.90999985;8.699999809;-0.815930247;0;0;1;11456;597138;0.442227751;0;1;117
AK;2;75;0;0;-3.977571964;11.90999985;8.5;-0.824963272;0;0;1;11619;597468;0.438251078;0;1;117
AK;2;76;0;0;-3.97702527;11.90999985;9.899999619;-0.840574622;0;0;0;11626;597797;0.431462526;0;1;117
AK;2;77;0;0;-3.950599194;11.90999985;9.699999809;-0.831541955;0;0;0;11938;598127;0.435377449;0;1;117
AK;2;78;0;0;-3.900262833;11.90999985;8.800000191;-0.815296769;0;0;0;12555;598457;0.442507982;0;1;117
AK;2;79;0;0;-3.883659124;11.90999985;8.199999809;-0.802107155;1;0;0;12766;598787;0.448383152;0;1;117
AK;2;80;0;0;-3.883320808;11.90999985;8.199999809;-0.782181144;1;0;0;12771;599116;0.457407236;0;1;117
AK;2;81;0;0;-3.900831699;11.90999985;7.400000095;-0.74963361;1;0;0;12550;599446;0.472539634;0;1;117
AK;2;82;0;0;-3.922471285;11.90999985;6.199999809;-0.722614646;0;1;0;12282;599776;0.485481232;0;1;117
AK;2;83;0;0;-3.922124863;11.90999985;5.699999809;-0.730555058;0;1;0;12287;600106;0.481641591;0;1;117
AK;2;84;0;0;-3.922582865;11.90999985;6.199999809;-0.755417585;0;1;0;12282;600435;0.46981439;0;1;117
AK;2;85;0;0;-3.919140339;12.07999992;7.199999809;-0.772112668;0;0;1;12325;600765;0.462035894;0;1;117
AK;2;86;0;0;-3.907672644;12.07999992;7.699999809;-0.777109623;0;0;1;12463;600838;0.45973292;0;1;117
AK;2;87;0;0;-3.903889179;12.07999992;7.900000095;-0.791180611;0;0;1;12506;600912;0.453309298;0;1;117
AK;2;88;0;0;-3.897814989;12.07999992;9.699999809;-0.803219378;0;0;0;12578;600985;0.447884709;0;1;117
AK;2;89;0;0;-3.88241148;12.07999992;9.600000381;-0.800463736;0;0;0;12769;601059;0.449120641;0;1;117
AK;2;90;0;0;-3.848191977;12.07999992;8.800000191;-0.788123727;0;0;0;13209;601132;0.454697132;0;1;117
AK;2;91;0;0;-3.836791992;12.07999992;8.399999619;-0.782028377;1;0;0;13356;601206;0.457477152;0;1;117
AK;2;92;0;0;-3.8443501;12.07999992;8.399999619;-0.759719133;1;0;0;13251;601279;0.467797816;0;1;117
AK;2;93;0;0;-3.864902496;12.07999992;7.400000095;-0.729454696;1;0;0;12977;601352;0.482171834;0;1;117
AK;2;94;0;0;-3.884100676;12.07999992;6.699999809;-0.702616155;0;1;0;12726;601426;0.495287865;0;1;117
AK;2;95;0;0;-3.902003765;12.07999992;5.800000191;-0.712656319;0;1;0;12496;601499;0.490339965;0;1;117
AK;2;96;0;0;-3.905350685;12.07999992;6.099999905;-0.740044773;0;1;0;12450;601573;0.477092564;0;1;117
AK;2;97;0;0;-3.914457083;12.28999996;7.099999905;-0.757039011;0;0;1;12333;601646;0.469053239;0;1;117
